id,name,owners,length,rfs_date,is_planned,notes,url,landing_points
bernacchi-1,Bernacchi-1,"Firmus, SUBCO",,2027 Q2,True,,,"Four Mile Bluff, TAS, Australia"
kunoa-north,Kunoa North,Hawaiian Telcom,,2028,True,,,"Hana, HI, United States, Kailua, HI, United States, Kilauea, HI, United States, Kohala, HI, United States, Waialua, HI, United States, Wailuku, HI, United States"
oceanic-tatitlek-telecommunications-enhancement-route-otter,Oceanic Tatitlek Telecommunications Enhancement Route (OTTER),Copper Valley Telecom,50 km,2027,True,,,"Tatilek, AK, United States, Valdez, AK, United States"
iokwe,IOKWE,Marshall Islands Telecommunications Authority,,2029,True,,,"Majuro, Marshall Islands"
andromeda,ANDROMEDA,"Etisalat Group, Exelera, Grid Telecom",,,True,"An integrated terrestrial link is planned to connect the ANDROMEDA landing station in Israel to landing stations at Aqaba and Haql, as well as a dedicated interconnection in Crete to the Apollo East and West systems.",,"Chania, Greece, Haifa, Israel, Genoa, Italy, Aqaba, Jordan"
norte-conectado-infovia-06,Norte Conectado (Infovia 06),Entidade Administradora da Faixa (EAF),"2,847 km",2028,True,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",https://eaf.org.br/infovias,"Manacapuru, Brazil, Rio Branco, Brazil"
norte-conectado-infovia-08,Norte Conectado (Infovia 08),Entidade Administradora da Faixa (EAF),"2,766 km",2028,True,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",https://eaf.org.br/infovias,"Cruzeiro do Sul, Brazil, Fonte Boa, Brazil"
norte-conectado-infovia-05,Norte Conectado (Infovia 05),Entidade Administradora da Faixa (EAF),"1,116 km",2028,True,"Norte Conectado is a Brazilian initiative to lay submarine fiber under the Amazon river and its tributaries. EAF is a non-governmental, non-profit organization formed by the operators Claro, Tim and Vivo.",https://eaf.org.br/infovias,"Autazes, Brazil, Auxiliadora, Brazil, Borba, Brazil, Calama, Brazil, Humaitá, Brazil, Manicoré, Brazil, Nova Olinda do Norte, Brazil, Novo Aripuanã, Brazil, Porto Velho, Brazil"
fea,FEA,FLAG,,1997 November,False,,https://flagtel.com/,"Suez, Egypt, Mumbai, India, Aqaba, Jordan, Penang, Malaysia, Jeddah, Saudi Arabia, Satun, Thailand, Songkhla, Thailand, Fujairah, United Arab Emirates"
pasela,PASELA,Telkom Indonesia,"1,100 km",2027 Q3,True,,,"Merauke, Indonesia, Tual, Indonesia"
kattegat-cable,Kattegat Cable,GlobalConnect,92 km,2027 Q4,True,,https://www.globalconnectcarrier.com/,"Saeby, Denmark, Lerkil, Sweden"
le-vasa,Le Vasa,ASTCA,,2027 Q1,True,,,"Tafuna, American Samoa"
apx-east,APX East,SUBCO,"13,000 km",2028 Q4,True,,http://www.subpartners.net,"Sydney, NSW, Australia, Suva, Fiji, Kapolei, HI, United States, San Diego, CA, United States"
i-am-cable,I-AM Cable,"Intra‑Asia Marine Networks Co., Ltd.","8,100 km",2029,True,,,"Fukuoka, Japan, Minamiboso, Japan, Shima, Japan, Sedili, Malaysia, Changi, Singapore, Busan, South Korea"
barracuda,Barracuda,Valencia Digital Port Connect,"1,050 km",2028 Q2,True,,https://valenciadigitalport.com/barracuda-infrastructure/,"Genoa, Italy, Sagunto, Spain"
thetis-express,Thetis Express,Vodafone,340 km,2027 Q3,True,,https://www.vodafone.gr/,"Athens, Greece, Heraklion, Greece, Milos, Greece"
antigua-st-kitts,Antigua-St.Kitts,Liberty Networks,141 km,1995,False,,https://libertynet.com,"St. John’s, Antigua and Barbuda, Basseterre, Saint Kitts and Nevis"
panam-south,PanAm South,"Corporacion Nacional de Telecomunicaciones (CNT), Liberty Networks","1,340 km",1999,False,,,"Punta Carnero, Ecuador, Panama City, Panama"
grand-bahama-bimini-submarine-cable,Grand Bahama Bimini Submarine Cable,Bahamas Telecommunications Company,117 km,2005,False,,,"Alice Town, Bahamas, Eight-Mile Rock, Bahamas"
adamasia-cable-system-1,Adamasia Cable System 1,Solomon Island Submarine Cable Company,"1,015 km",2027 Q4,True,,,"Honiara, Solomon Islands"
red-hook-little-saint-james,Red Hook-Little Saint James,Virgin Islands Water and Power Authority,5 km,2005,False,,,"Great Bay, Virgin Islands (U.S.), Little Saint James, Virgin Islands (U.S.)"
verena,Verena,Midgard Infra,630 km,2028 Q4,True,,https://midgardinfra.com/,"Esbjerg, Denmark, Scarborough, United Kingdom"
dhivaru,Dhivaru,Google,,2028,True,,https://cloud.google.com,"Flying Fish Cove, Christmas Island, Hithadhoo, Maldives, Muscat, Oman"
fastnet,Fastnet,Amazon Web Services,,2028,True,,https://aws.amazon.com/,"Castlefreke, Ireland, Ocean City, MD, United States"
longyearbyen-ny-lesund,Longyearbyen-Ny-Ålesund,Sikt,540 km,2015 May,False,,,"Longyearbyen, Svalbard, Norway, Ny-Ålesund, Norway"
portsmouth-ryde-11,Portsmouth-Ryde 11,BT,,2015,False,,,"Portsmouth, United Kingdom, Ryde, United Kingdom"
portsmouth-ryde-10,Portsmouth-Ryde 10,BT,,2015,False,,,"Portsmouth, United Kingdom, Ryde, United Kingdom"
cowes-fawley-2,Cowes-Fawley 2,BT,,2018,False,,,"Gurnard, United Kingdom, Lepe, United Kingdom"
kardesa,Kardesa,"Neqsol Holding, Vodafone","1,385 km",2027,True,,,"Aheloy, Bulgaria, Poti, Georgia, Sile, Turkey, Odessa, Ukraine"
asia-united-gateway-east-aug-east,Asia United Gateway East (AUG East),"Amazon Web Services, Arteria, Chunghwa Telecom, Dreamline, Globe Telecom, Microsoft, Singtel, Telekom Malaysia, Unified National Networks (UNN)","8,900 km",2029 Q4,True,,,"Mumong, Brunei, Batam, Indonesia, Wada, Japan, Sedili, Malaysia, Luna, Philippines, Changi, Singapore, Gunsan, South Korea, Dawu, Taiwan, Wujie, Taiwan"
trans-global-cable-system-tgcs,Trans Global Cable System (TGCS),Trans Indonesia Supercorridor,"1,200 km",2026 Q4,True,,https://www.supercorridor.co.id/,"Balikpapan, Indonesia, Batam, Indonesia, Ketapang, Indonesia, Makassar, Indonesia, Manado, Indonesia, Surabaya, Indonesia, Tanjung Pakis, Indonesia"
tmx5,TMX5,Telmex,383 km,2025,False,,,"Mazatlán, Mexico, San José del Cabo, Mexico"
candle,Candle,"Globe Telecom, IPS, Inc., Meta, Softbank, Telekom Malaysia, XLSmart","8,000 km",2028,True,,,"Batam, Indonesia, Maruyama, Japan, Sedili, Malaysia, Baler, Philippines, Nasugbu, Philippines, Changi North, Singapore, Toucheng, Taiwan"
mobily-red-sea-cable-mrsc,Mobily Red Sea Cable (MRSC),Mobily,,2027,True,,http://www.mobily.com.sa/,"Sharm el-Sheikh, Egypt, Duba, Saudi Arabia"
challenger-one-bermuda,Challenger One Bermuda,ATN International,,2024 February,False,,,"Paget, Bermuda"
americas-ii-west,Americas-II West,"AT&T, Liberty Networks, Sparkle",217 km,2000 August,False,,,"Miramar, PR, United States, St. Croix, Virgin Islands, Virgin Islands (U.S.)"
daraja,Daraja,"Meta, Safaricom","4,108 km",2026,True,,,"Nyali, Kenya, Salalah, Oman"
ithaafushi-maafushi-hulhumale,Ithaafushi-Maafushi-Hulhumale,Ooredoo Maldives,,2025 August,False,,,"Hulhumale, Maldives, Ithaafushi, Maldives, Maafushi, Maldives"
farewell-change-fogo,Farewell-Change-Fogo,Bell Canada,16 km,2025 August,False,,,"Farewell, NL, Canada, Fogo Island, NL, Canada, Stag Harbour, NL, Canada"
